condition,year,model,trim,title,price,mileage,dealer,deal,link
Certified,2022,Camry,Toyota Camry SE,Certified 2022 Toyota Camry SE,"$24,981","75,148 mi.",Avondale Toyota,fair-deal,https://www.cars.com/vehicledetail/01b32eec-a6b9-4542-aabd-f88c58f4e36c/?attribution_type=premier
Certified,2025,Camry,Toyota Camry XLE,Certified 2025 Toyota Camry XLE,"$34,981","11,856 mi.",Avondale Toyota,good-deal,https://www.cars.com/vehicledetail/e32df0ae-b08a-4dbe-bdda-940c02a268f4/
Certified,2025,Camry,Toyota Camry XSE,Certified 2025 Toyota Camry XSE,"$35,488","3,990 mi.",Camelback Toyota,good-deal,https://www.cars.com/vehicledetail/20e4de08-1e22-4503-9953-785edd54f66b/
Certified,2025,Camry,Toyota Camry LE,Certified 2025 Toyota Camry LE,"$26,981","47,880 mi.",Avondale Toyota,good-deal,https://www.cars.com/vehicledetail/aa01d277-5f64-44fc-9f5a-778997a7e2fb/
Used,2023,Camry,Toyota Camry SE,Used 2023 Toyota Camry SE,"$22,520","61,290 mi.",AutoNation Toyota Tempe,good-deal,https://www.cars.com/vehicledetail/a47bffb5-18cc-488d-8468-5cd0a2a8704c/
Used,2025,Camry,Toyota Camry LE,Used 2025 Toyota Camry LE,"$25,373","26,398 mi.",Bill Luke Santan,good-deal,https://www.cars.com/vehicledetail/5b721f37-25dd-4ca0-9b1a-7c02efcf38ee/
Used,2022,Camry,Toyota Camry,Used 2022 Toyota Camry,"$30,150","49,725 mi.",Earnhardt Chrysler Jeep Dodge RAM,good-deal,https://www.cars.com/vehicledetail/355b8658-1b39-408c-a70e-f5056ad86777/
Used,2021,Camry,Toyota Camry SE,Used 2021 Toyota Camry SE,"$18,998","74,860 mi.",Showcase Honda,good-deal,https://www.cars.com/vehicledetail/5b52a83a-286b-4372-9b50-405600337835/
Used,2024,Camry,Toyota Camry SE,Used 2024 Toyota Camry SE,"$26,788","34,501 mi.",Berge Toyota,good-deal,https://www.cars.com/vehicledetail/4b31e8c5-dae5-452c-9191-4932d8047d9a/
Used,2024,Camry,Toyota Camry LE,Used 2024 Toyota Camry LE,"$25,851","13,196 mi.",Audi North Scottsdale,good-deal,https://www.cars.com/vehicledetail/9d10e2ed-70fe-4c7f-b144-02649e289f85/
Used,2023,Camry,Toyota Camry SE,Used 2023 Toyota Camry SE,"$24,891","37,676 mi.",AutoNation Chevrolet Arrowhead,good-deal,https://www.cars.com/vehicledetail/34661e7f-dec2-46fa-9b8f-3289913b1a4f/
Used,2025,Camry,Toyota Camry SE,Used 2025 Toyota Camry SE,"$28,987","26,693 mi.",Bell Road Mitsubishi,good-deal,https://www.cars.com/vehicledetail/4ae77e66-2516-456d-a17d-1bf840d5037a/
Used,2025,Camry,Toyota Camry XSE,Used 2025 Toyota Camry XSE,"$33,900","6,719 mi.",Earnhardt Lexus,good-deal,https://www.cars.com/vehicledetail/fb810ace-89b4-4b2d-a8f5-c43d97ea73f0/
Used,2025,Camry,Toyota Camry SE,Used 2025 Toyota Camry SE,"$30,077","15,066 mi.",CardinaleWay Mazda Peoria,good-deal,https://www.cars.com/vehicledetail/4d7c5d30-0376-4837-983b-7e82ec41b4e4/
Used,2025,Camry,Toyota Camry LE,Used 2025 Toyota Camry LE,"$28,173","29,403 mi.",Bill Luke Tempe,great-deal,https://www.cars.com/vehicledetail/fad0d6c2-9318-4cd0-a7e9-b791c2260859/
Used,2025,Camry,Toyota Camry SE,Used 2025 Toyota Camry SE,"$30,984","4,780 mi.",Pinnacle Nissan,good-deal,https://www.cars.com/vehicledetail/facb1148-6e3d-4036-9647-66e84170b3d5/
Used,2024,Camry,Toyota Camry LE,Used 2024 Toyota Camry LE,"$22,987","38,350 mi.",Ken Garff Kia Avondale,great-deal,https://www.cars.com/vehicledetail/7e00aedd-6c8b-4801-8918-3fa4214673b2/
Used,2016,Camry,Toyota Camry SE,Used 2016 Toyota Camry SE,"$11,992","145,574 mi.",Mark Kia,good-deal,https://www.cars.com/vehicledetail/42f689a9-d6a9-4732-bc64-55c2ad8c5c36/
